# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	582
#@/user_id	29c084a4-a1b2-43db-897a-9fc57eac2c65
a 	啊	c=1 d=1 t=569
guang xue 	光學	c=1 d=1 t=195
gui 	歸	c=1 d=1 t=113
gui bi 	規避	c=1 d=1 t=582
gun dong 	滾動	c=0 d=0.199005 t=446
guo biao 	國標	c=1 d=1 t=178
ha ha 	哈哈	c=5 d=2.81242 t=582
hai lun 	海倫	c=0 d=0.1 t=367
hai lun fei she er 	海倫費捨爾	c=1 d=1 t=368
hang 	行	c=1 d=1 t=577
he 	和	c=2 d=0.965605 t=582
he 	鶴	c=0 d=0.1 t=232
hei hei 	嘿嘿	c=2 d=0.923116 t=582
hei ming dan 	黑名單	c=3 d=2.87767 t=582
hou xuan 	侯选	c=0 d=0.1 t=422
hou xuan ci 	侯选詞	c=7 d=6.63588 t=448
hou xuan ci wen dang 	侯选詞文檔	c=1 d=1 t=446
hua ji 	滑稽	c=1 d=1 t=122
hun yin 	婚姻	c=1 d=1 t=361
huo 	或	c=2 d=1.41895 t=441
ji shu 	技術	c=1 d=1 t=537
jia jia 	加加	c=0 d=0.1 t=229
jian 	鍵	c=6 d=2.20808 t=495
jian cheng 	簡稱	c=1 d=1 t=352
jian gou 	建構	c=1 d=1 t=237
jian pan 	劍盤	c=0 d=0.1 t=211
jian pan 	鍵盤	c=6 d=5.01722 t=555
jian qie 	剪切	c=1 d=1 t=411
jian suo 	檢索	c=1 d=1 t=378
jian xiao 	減小	c=2 d=1.98511 t=301
jian ying 	剪映	c=1 d=0.985112 t=582
jiang 	將	c=5 d=4.66042 t=287
jie hun 	結婚	c=0 d=0.1 t=364
jin xing 	進行	c=1 d=1 t=261
jing cheng 	京城	c=1 d=1 t=86
jing ji ren 	經紀人	c=1 d=0.980199 t=582
jing pin 	競品	c=5 d=4.35971 t=549
jing xi 	精細	c=1 d=1 t=393
jiu 	就	c=3 d=2.07223 t=405
jiu gong ge 	九宮格	c=1 d=1 t=214
jiu jian 	九鍵	c=1 d=1 t=150
jiu shi 	就是	c=1 d=1.1305 t=569
jue xin 	決心	c=1 d=1 t=63
kai qi 	開啓	c=1 d=1 t=440
kai shi 	開始	c=1 d=1 t=324
kan bu guan 	看不慣	c=1 d=1 t=564
ke 	可	c=0 d=0.099005 t=582
ke yu yin zhuan wen zi 	可語音轉文字	c=1 d=0.995012 t=582
ku men 	苦悶	c=0 d=0.1 t=129
kuai huo 	快活	c=1 d=1 t=93
kuai jie 	快捷	c=1 d=0.274645 t=495
kuai jie ei jian 	快捷誒鍵	c=2 d=1.99501 t=497
kuai jie jian 	快捷鍵	c=3 d=2.16931 t=544
kuai le 	快樂	c=0 d=0.1 t=132
kuai le qi lai 	快樂起來	c=1 d=1 t=133
kuan du 	寬度	c=2 d=2.16258 t=307
lao po 	老婆	c=1 d=1 t=98
le 	了	c=2 d=0.946485 t=582
li 	力	c=1 d=1 t=372
lian 	連	c=1 d=1 t=338
lian dong 	聯動	c=2 d=1.98511 t=513
lian xi 	練習	c=1 d=1.09608 t=80
liang zhe 	兩者	c=1 d=1 t=406
lu shang 	路上	c=1 d=1 t=114
lun zi 	輪子	c=0 d=0.1 t=403
ma 	碼	c=1 d=1 t=179
ma chang shan 	馬長山	c=0 d=0.1 t=532
ma rong 	馬蓉	c=1 d=0.923116 t=582
ma sai ke 	馬賽克	c=1 d=1 t=498
mei 	沒	c=0 d=0.199501 t=356
mei dui xiang 	沒對象	c=1 d=1 t=356
mei fan nao 	沒煩惱	c=1 d=1 t=357
mi yao 	密鑰	c=0 d=0.1 t=537
mian ban 	面板	c=1 d=1 t=409
mian fei ban 	免費版	c=1 d=1 t=558
ming ling 	命令	c=2 d=1.97045 t=458
mo shi 	模式	c=1 d=1 t=576
na ge 	那個	c=0 d=0.1 t=432
nao si wang 	腦死亡	c=1 d=1 t=347
nei 	內	c=1 d=1 t=578
nei ma 	內碼	c=1 d=1 t=157
nei rong 	內容	c=0 d=0.1 t=393
neng li 	能力	c=0 d=0.1 t=402
ni 	你	c=1 d=1 t=565
nv you 	女友	c=1 d=0.932394 t=582
o 	哦	c=0 d=0.1 t=406
o du yong 	哦都用	c=1 d=1 t=407
pan jin lian 	潘金蓮	c=1 d=0.946485 t=582
peng dao le 	碰到了	c=1 d=1 t=116
pin 	拼	c=1 d=1 t=164
pin yin 	拼音	c=4 d=3.36842 t=229
pin yin jia jia 	拼音加加	c=1 d=1 t=230
ping mu 	屏幕	c=0 d=0.1 t=280
ping mu kuan du 	屏幕寬度	c=1 d=1 t=281
ping xing 	平行	c=1 d=1 t=334
qi che 	汽車	c=2 d=1.99501 t=561
qi lai 	起來	c=0 d=0.1 t=132
